planet,distance,radius,scaledRadius
Sun,0,695000,118.39500000000004
Mercury,58000000,2440,3.4051277697841726
Venus,108000000,6052,4.004849697841727
Earth,150000000,6378,4.058977424460432
Mars,228000000,3397,3.5640241942446043
Jupiter,778000000,71492,14.870243654676264
Saturn,1429000000,60268,13.006655913669068
Uranus,2871000000,25559,7.24371338848921
Neptune,4504000000,24766,7.112046863309354
Pluto,5913000000,1150,3.190941366906475
